,pred1
399,0.24083753
400,0.24664785
401,0.24664785
402,0.24083753
403,0.24083753
404,0.25126696
405,0.25744587
406,0.25126696
407,0.22576205
408,0.22576205
409,0.24083753
410,0.24083753
411,0.23386462
412,0.24083753
413,0.25684276
414,0.24664783
415,0.25126696
416,0.24664785
417,0.25126696
418,0.25684276
419,0.24664785
420,0.25126696
421,0.22576205
422,0.22576205
423,0.24083753
424,0.24083753
425,0.24083753
426,0.24664785
427,0.24664785
428,0.22576205
429,0.24664785
430,0.24083753
431,0.24083753
432,0.25467125
433,0.24664785
434,0.23386462
435,0.23386462
436,0.25126696
437,0.25467125
438,0.22576205
439,0.24083753
440,0.25684276
441,0.25467125
442,0.23386462
443,0.24083753
444,0.25684276
445,0.25126696
446,0.24083753
447,0.25467125
448,0.22576205
449,0.24664785
450,0.24664785
451,0.24083753
452,0.25126696
453,0.24083753
454,0.25467125
455,0.25467125
456,0.24664785
457,0.23386462
458,0.23386462
459,0.25467125
460,0.23386462
461,0.2165664
462,0.23386462
463,0.25684276
464,0.25467125
465,0.24664785
466,0.25776947
467,0.24664785
468,0.24664785
469,0.24664785
470,0.25684276
471,0.24083753
472,0.25126696
473,0.25126696
474,0.25776947
475,0.23386462
476,0.25467125
477,0.25467125
478,0.22576205
479,0.25467125
480,0.25126696
481,0.24664785
482,0.25126696
483,0.23386462
484,0.25467125
485,0.24664785
486,0.25684276
487,0.24083753
488,0.24083753
489,0.24083753
490,0.24664785
491,0.25126696
492,0.24083753
493,0.25467125
494,0.24083753
495,0.23386462
496,0.25126696
497,0.24083753
498,0.24664785
499,0.24083753
500,0.24664785
501,0.24664785
502,0.23386462
503,0.23386462
504,0.23386462
505,0.25684276
506,0.25744587
507,0.24083753
508,0.25467125
509,0.25587302
510,0.25467125
511,0.24664783
512,0.24664785
513,0.22576205
514,0.25467125
515,0.25126696
516,0.25126696
517,0.22576205
518,0.22576205
519,0.25684276
520,0.22576205
521,0.25467125
522,0.25126696
523,0.25467125
524,0.25126696
525,0.23386462
526,0.24083753
527,0.24664785
528,0.25467125
529,0.23386462
530,0.25126696
531,0.22576205
532,0.22576205
533,0.24083753
534,0.25126696
535,0.24664785
536,0.25126696
537,0.25126696
538,0.22576205
539,0.23386462
540,0.24664785
541,0.25684276
542,0.24083753
543,0.25126696
544,0.25467125
545,0.24664785
546,0.25467125
547,0.25126696
548,0.24083753
549,0.22576205
550,0.23386462
551,0.24664785
552,0.25467125
553,0.25467125
554,0.25776947
555,0.25126696
556,0.24664785
557,0.25776947
558,0.25126696
559,0.22576205
560,0.25467125
561,0.25126696
562,0.24664785
563,0.23386462
564,0.25467125
565,0.25467125
566,0.24083753
567,0.23386462
568,0.24664785
569,0.24664785
570,0.24664785
571,0.25467125
572,0.24664785
573,0.25126696
574,0.22576205
575,0.25467125
576,0.24664785
577,0.25684276
578,0.24083753
579,0.24083753
580,0.24664785
581,0.25776947
582,0.24083753
583,0.23386462
584,0.25126696
585,0.24083753
586,0.25684276
587,0.25587302
588,0.25126696
589,0.25467125
590,0.24083753
591,0.23386462
592,0.25126696
593,0.23386462
594,0.24664785
595,0.25467125
596,0.24664785
597,0.25126696
598,0.24664785
599,0.24664785
600,0.24664785
601,0.24664785
602,0.25126696
603,0.24083753
604,0.24083753
605,0.25126696
606,0.2577695
607,0.2577695
608,0.24664785
609,0.2530586
610,0.24083753
611,0.24083753
612,0.23386462
613,0.25467125
614,0.25126696
615,0.24664785
616,0.24664785
617,0.25776947
618,0.25776947
619,0.24083753
620,0.25684276
621,0.25467125
622,0.25126696
623,0.25684276
624,0.25684276
625,0.25467125
626,0.23386462
627,0.23386462
628,0.25467125
629,0.25126696
630,0.25467125
631,0.25467125
632,0.24664785
633,0.24664785
634,0.25126696
635,0.24083753
636,0.25467125
637,0.24083753
638,0.25467125
639,0.24664783
640,0.25126696
641,0.25126696
642,0.25126696
